entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
ɗon213,511036738a04246e.wav,動詞,閹,yan1,Adjectives & Verbs,,,
kɛi213 ɗon213,511036738a04246e.wav,,閹雞,yan1 ji1,,,,ɗon213
ɗoŋ213,651d614041d793a8.wav,方位詞,東,dong1,Directions,,,
ɗuaŋ44,577235cd153df4d5.wav,名詞,臼,jiu4,Material Culture,,,
ɗuŋ33 lɔ44,0ea995cee09d1141.wav,名詞,鑼,lou2,Material Culture,,,
ɗɔm24,,動詞,倒（下） to fall down,dao3,Adjectives & Verbs,/hu21/為「一大片崩塌下來」；/ɗɔm24/乃「單件東西倒下來」,,
ɗɔn21 ɗa213,6b9c9de510c6d071.wav,名詞,眼,yan3,Body Parts,,,
ɗɔn213,9a84a8e19e73560b.wav,動詞,罵,ma4,Adjectives & Verbs,,,
ɗɔn24,995a2826d65932e1.wav,形容詞,短（距離、時間）,duan3,Adjectives & Verbs,,,
ɗɔu213,638580e6441e889e.wav,名詞,鼎、鍋,ding3; guo1,Material Culture,,,
ɗɔŋ24,,名詞,椅,yi3,Material Culture,,,
ɗɔŋ24,9cee508c5dbe2cd5.wav,名詞,長凳,chang2 deng4,Material Culture,,,
ɗɔŋ55 lɔu24,7519f537330f5535.wav,時間副詞,大後天,da4 ho4 tian1,Time,,,
ɗɔŋ55 zɔ44,7084954fae022109.wav,時間副詞,後天,ho4 tian1,Time,,,
ɗən44,40f4638498c1c1f9.wav,動詞,嘔吐(to vomit),tu4,Adjectives & Verbs,,,
ɗəu24,415c2142edc3abb1.wav,代名詞,我們1pl,wo3 men,Miscellaneous,,ɗai44 kun,
ɗɛ24,ef53c3e01f31f571.wav,名詞,叔叔,shu2 shu2,Kinship,,,
ɗɛk21,4e04ee5bbacb93d5.wav,動詞,織,zhi1,Adjectives & Verbs,,,
ɗot33 ɗɛk33,4e04ee5bbacb93d5.wav,,織布,zhi1 bu4,,,,ɗɛk21
ɗɔn24,2919c511b122ce88.wav,名詞,樹,shu4,Flora,,,
ɓun44,749ef593662cae42.wav,,桑樹,sang1 shu4,,,,ɗɔn24
mɛ213 ɗɔn24,,,爬樹,pa2 shu4,,,,ɗɔn24
ŋɛŋ24 ɗɔn24,1ae7ba92dfa1212e.wav,,樹枝,shu4 zhi1,,,,ɗɔn24
naŋ213 ɗɔn24,2279c0367e6f8205.wav,,樹皮,shu4 pi2,,,,ɗɔn24
hai213,450de80293d91fbc.wav,名詞,梳子,shu1 zi,Material Culture,,,
hak21 ɗoi24,c95db876e0d39ec2.wav,名詞,杵,chu3,Material Culture,,,
ham35,6b6e314a9f60c513.wav,動詞,抬,tai2,Adjectives & Verbs,,,
ham44,,動詞,含,han2,Adjectives & Verbs,,,
haŋ55 ʔik55,adb0d21f7e4cb40c.wav,方位詞,外面,wai4 mian4,Directions,,,
haŋ55 ɗau44,569413fb0016a6c1.wav,方位詞,下面,xia4,Directions,,,
haŋ55 lɔi44,0fcbbb0bbad58775.wav,方位詞,後,hou4,Directions,,,
haŋ55 zɔ21(3),fb8efec62aac3572.wav,方位詞,裡面,li3 mian4,Directions,,,
haŋ55 zuŋ213,,方位詞,上面,shang4 mian4,Directions,,,
hap33,ea7314cd038d8a42.wav,名詞,布,bu4,Material Culture,,,
hau21 kɛi213,,名詞,公雞,gong1 ji1,Fauna,,,
hau24,65b70c3a54a22d76.wav,名詞,頭,tou2,Body Parts,,,
hau24 mɔ44,bc5fa6c2fd5da55c.wav,名詞,大拇指,da4 mu3 zhi3,Body Parts,,,
haŋ213,2a365d6f814ad9e6.wav,形容詞,高,gao1,Adjectives & Verbs,,,
haŋ55 na24,d211978eacc410e1.wav,方位詞,前,qian2,Directions,,,
hik55,,動詞,蓋,kai4,Adjectives & Verbs,,,
hik55 zan44 ŋua21,,,蓋瓦房,gai4 wa3 fang2,,,,hik55
hi213,2db5101aa5919cc5.wav,名詞,市場,shi4 chang3,Material Culture,,,
ɓɛi55 hi213,29b9c2d1d4ef609b.wav,,去市場,qu4 shi4 chang3,,,,hi213
hiaŋ213,8905eb3a298bfc45.wav,形容詞,香,xiang1,Adjectives & Verbs,,,
hiu213,94d23371ead882a1.wav,形容詞,綠,lü4,Adjectives & Verbs,,,
hoŋ24,,動詞,送,song4,Adjectives & Verbs,,,
hoŋ44,f3d97b1b5755aa71.wav,形容詞,紅,hong2,Adjectives & Verbs,,,
hua213,,名詞,花,hua1,Flora,,,
hua24,aac11a98e31d02d2.wav,形容詞,酸,suan1,Adjectives & Verbs,,,
hui21,550650c61d3275a1.wav,名詞,碗,wan3,Material Culture,,,
huŋ44,0772fafab3326e60.wav,動詞,煮,zhu3,Adjectives & Verbs,,,
huŋ44 (nam21) tia21,0772fafab3326e60.wav,,煮（稀）飯,zhu3 xi1 fan4,,,,huŋ44
huŋ44 ŋai44,,,煮乾飯,zhu3 gan1 fan4,,,,huŋ44
hɔ44,6d7c254bda7ed95d.wav,動詞,抓to grab,zhua1,Adjectives & Verbs,,,
hɔ44 kɛi21(3),4d56b8e1c4bc0f4f.wav,,抓雞,zhua1 ji1,,,,hɔ44
hɔi213,06f5620a42291b81.wav,名詞,田螺,tian2 luo2,Fauna,,,
hɔi24,030d167af3e06d13.wav,名詞,海,hai3,Nature,,,
hɔm213,eb1cfd4c4e8115cc.wav,動詞,撿,jian3,Adjectives & Verbs,,,
hɔn21,,名詞,汗水,han4 shui3,Body Parts,,,
hɔn21,,名詞,穿山甲,chuan1 shan1 jia3,Fauna,,,
hɔp33 suaŋ213,77c595c436126443.wav,動詞,關窗,guan1 chuang1,Adjectives & Verbs,,,
hɔt33 han24,772d2835becbfda4.wav,名詞,蘑菇,mo2 gu1,Fauna,,,
hɛŋ21,,形容詞,安靜,an1 jing4,Adjectives & Verbs,tshɛʔ33 叫人安靜,,
hɛŋ24,,動詞,聽,ting1,Adjectives & Verbs,,,
hau24 mak33 tuan24,a54dca515db7048f.wav,名詞,蒜頭,suan4 tou2,Food,,,
hua213 mɔ44,5eea0d188f811398.wav,名詞,指紋,zhi3 wen2,Body Parts,,,
kat33,3a90a2e226e66c06.wav,動詞,綁,bang3,Adjectives & Verbs,,,
kap33,,動詞,啃,ken3,Adjectives & Verbs,,,
kap33,621ea3146fac8d46.wav,動詞,咬,yao3,Adjectives & Verbs,,,
nai21,19ff7ff8e745a7cc.wav,,嚼,,,,,kap33
kat55,c950940343bff3ff.wav,名詞,頭蝨,tou2 shi1,Fauna,,,
kau24,85ec9eddba3102a4.wav,形容詞,舊,jiu4,Adjectives & Verbs,,,
kau55,3518eb45bfa7b0d9.wav,名詞,姑姑（比爸爸年幼）,gu1 gu1,Kinship,,,
kaŋ24,ff4eb21fb1d23dc7.wav,動詞,說、講,shuo1; jiang3,Adjectives & Verbs,,,
kaŋ24 khɛk55,67982b2223556a9f.wav,名詞,海南話,hai3 nan2 hua4,Miscellaneous,意同「講客」,,
kaŋ24 vɔ24,7ed75be89c51d498.wav,名詞,長流話,chang2 liu2 hua4,Miscellaneous,意同「講村（話）」,,
keʔ55,3e9e0343b4afa0cf.wav,動詞,解開、脫,jie3 kai1; tuo1,Adjectives & Verbs,,,
kiaŋ213,9ef0465410bfe9ae.wav,名詞,薑,jiang1,Flora,,,
kit55,,動詞,打,da3,Adjectives & Verbs,,,
kit55 kɔn44,,,打架,da3 jia4,,,,kit55
kiŋ24 hit33 tam213,27bd2325cdfefd2e.wav,名詞,中指,chong1 zhi3,Body Parts,,,
kiŋ24 hit33 ŋɛi21,74d1e3ccd30940f8.wav,名詞,食指,shi2 zhi3,Body Parts,,,
kiŋ24 mɔ44,6d34b05db747ec1f.wav,名詞,手指,shou3 zhi3,Body Parts,,,
kiu44,,名詞,月,yue4,Nature,,,
kok55,6d0b888317287b28.wav,名詞,腳,jiao3,Body Parts,,,
koʔ33,15bcedb2e557b732.wav,形容詞,臭,chou4,Adjectives & Verbs,,,
ku24 tɔp33,,數詞,九十,jiu3 shi2,Miscellaneous,,,
kuak55,a0e46e287431b3c2.wav,名詞,鋤頭,chu2 tou2,Material Culture,,,
kui213,234a831c8a07d6bf.wav,名詞,龜,gui1,Fauna,,,
kum44,14c62592b0e1b608.wav,形容詞,飽,bao3,Adjectives & Verbs,,,
kuŋ55 tsho24,404dc5b295d78582.wav,名詞,曾祖父、外曾祖父,zeng1 zu3 fu4; wai4 zeng1 zu3 fu4,Kinship,,,
kɔm44,bba36823b97b54df.wav,動詞,癢,yang3,Adjectives & Verbs,,,
kɔn213,993cbf807b4d4b92.wav,動詞,吃,chi1,Food,,,
kɔn213-33 ŋai44,6aa4c6519533fb96.wav,,吃乾飯,ch1 gan1 fan4,,,,kɔn213
kɔn213-33 nam21 tia21,6f50623ebdac1937.wav,,吃稀飯,ch1 xi1 fan4,,,,kɔn213
kɔn213 ɓak33,4d27516339291057.wav,動詞,吃中飯,chi1 zhong1 fan1,Food,,,
kɔn213 ɓak33,737e447b536f1d41.wav,名詞,中午,zhong1 wu3,Food,,,
kɔn213 kom21,cd910d611d6426ef.wav,動詞,吃晚飯,chi1 wan3 fan4,Food,,,
kɔn213 tia21 tshau24,40fac92815c90da6.wav,動詞,吃早飯,chi1 zao3 fan4,Food,,,
kɔp33,e153de4aadb82e67.wav,名詞,大青蛙、田雞,da4 qing1 wa1; tian2 ji1,Fauna,,,
kɔu21,41e7099d12c10b88.wav,名詞,東西,dong1 xi,Miscellaneous,,,
kɔŋ213,2a98207d371c4882.wav,名詞,缸,gang1,Material Culture,,,
kɔŋ213,1204ae7ada3b70b0.wav,形容詞,緊,jin3,Adjectives & Verbs,,,
