entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
mit33 ŋau21,76cac557c1adbbc6.wav,名詞,鐮刀,lian2 dao1,Material Culture,,,
mɔ44 mai44,45488951fa0d420b.wav,方位詞,右邊,yiu4 bian1,Directions,好手,,
mɔ44 ŋɔŋ24,ccc9f3f9facef75b.wav,方位詞,左邊,zuo3 bian1,Directions,笨手,,
na213,19e53ee3b15bf314.wav,形容詞,厚,hou4,Adjectives & Verbs,,,
na24,970f3fb38fef5102.wav,名詞,臉,lian3,,,,
nai24,2c2ad9eb809e876f.wav,動詞,借,jie4,Adjectives & Verbs,,,
nam21,34b76bbceb775d89.wav,名詞,水,shui3,Nature,,,
nam21 mai44,a00f994f9f150b4e.wav,名詞,口水,kou3 shui3,Body Parts,,,
nam21 tia21,479f4852efd21713.wav,名詞,稀飯,xi1 fan4,Food,,,
nam213,93c9baa2cb20371e.wav,名詞,蛋,jdan4,Food,,,
nam213 kɛi213,,,雞蛋,ji1 dan4,,,,nam213
nan21,e4ccc37110f853c1.wav,名詞,肉,rou4,Food,,,
nap21,,名詞,稻殼,dao4 ke2,Flora,亦同「鱗」,,
nau21,3ee932d17c7b9163.wav,形容詞,新,xin1,Adjectives & Verbs,,,
naŋ213,1ce73e255d65efa3.wav,名詞,皮膚,pi2 fu1,Body Parts,,,
naŋ44,f2cacb7f3749445a.wav,名詞,竹筍,zhu2 sun3,Flora,,,
nian213,38d59eb8ced68f90.wav,名詞,妻子,qi1 zi3,Kinship,[nien],,
nian213 mɛi21,1efb5337822ed8af.wav,名詞,姨（比媽媽年幼）,yi2,Kinship,[nien],,
nia44,,名詞,水田,shui3 tian2,Flora,水田亦作 nia44 nam21,,
zom213 nia44,,,種田,zhong4 tian2,,,,nia44
nia44,a8f7c44b8595e055.wav,動詞,來,lai2,Adjectives & Verbs,,,
niaŋ44,851f01438b9251bf.wav,名詞,蠶,can2,Fauna,,,
nia44 ziaŋ24,,名詞,旱田；山坡地,han4 tian2; shan1 po1 di4,Flora,,,
nip55,850c36e7b5f0b346.wav,動詞,閉（眼）,bi4,Adjectives & Verbs,,,
nip55 ɗa213,f3fbf7080a181c02.wav,,閉眼,bi4 yan3,,,,nip55
niu24,d4a5a7eab4610948.wav,動詞,聞,wen2,Adjectives & Verbs,,,
niʔ55,f6e13f30cbac062f.wav,形容詞,小,xiao3,Adjectives & Verbs,,,
nok33,27b50a36e4f76448.wav,名詞,鳥,niao3,Fauna,,,
nok33 kak55,,名詞,雁,yan4,Fauna,,,
nok33 ko21 miu213,eed3bfa9a8b03020.wav,名詞,貓頭鷹,mao1 tou2 ying1,Fauna,,,
nom44,22cecbc67540413e.wav,方位詞,南,nan2,Directions,,,
not55,bbc89346b01c998c.wav,形容詞,肥胖,fei2 pang4,Adjectives & Verbs,,,
noŋ21,58c8c0bf3c54b6e0.wav,名詞,妹、弟,mei4; di4,Kinship,弟弟亦作 tok55；妹妹亦作 ko213,,
nɛʔ55 tsho24,fb3d855adfd18821.wav,名詞,（外）曾祖母,(wai4) zeng1 zu3 mu3,Kinship,,,
nia44 haŋ213,,名詞,旱田；山坡地,han4 tian2; shan1 po1 di4,Flora,,,
nok33 tshiu24,caebd36c1dd14937.wav,名詞,燕子,yan4 zi,Fauna,也作 tsheu24 tɛŋ213,,
nɔ24,cba529315b18d2d9.wav,形容詞,尺寸大,chi3 cun4 da4,Adjectives & Verbs,,so,
nam44,98bd6afa8362bd66.wav,動詞,舂,chong1,Adjectives & Verbs,,,
nam44 zap33 ; ɗoi24 zap33,98bd6afa8362bd66.wav,,舂米(=舂稻穀),chong1 mi3,,,,nam44
niu24,8ca8eea4be94dfb6.wav,形容詞,枯萎,ku1 wei1,Adjectives & Verbs,,,
nok33 ɗuk33,04fe1d0ade5ad624.wav,名詞,松鼠,song1 shu3,Fauna,,,
nok33 khit55,,名詞,蝙蝠,bian1 fu2,Fauna,,,
nok33 khok55,,名詞,癩蝦蟆,lai4 ha2 ma,Fauna,,,
nok33 san33 hɔu44,dae30345eae91597.wav,名詞,麻雀,ma2 que4,Fauna,,,
ŋai24,2778c34dd0991105.wav,動詞,哭,ku1,Adjectives & Verbs,,,
ŋai44,bb73dbc8fa9d6d11.wav,名詞,乾飯,gan1 fan4,Food,,,
ŋau21,1ca702b9844a7302.wav,名詞,稻,dao4,Flora,,,
ŋau24,8778162824ea38fd.wav,形容詞,熟ripe,shou2,Adjectives & Verbs,,,
ŋau44,,動詞,搖晃,yao2 huang4,Adjectives & Verbs,,,
ŋia44,,名詞,蛇,she2,Fauna,,,
ŋit33,,名詞,月份,yue4 fen4,Time,,,
ŋo21,,數詞,五,wu3,Miscellaneous,,,
ŋuk33,86ffd40f8aaec790.wav,名詞,鼻涕,bi2 ti4,Body Parts,,,
li213 ŋuk33,f4cf23280b4c769b.wav,,流鼻涕,liu2 bi2 ti4,,,,ŋuk33
ŋəu44,,名詞,黃牛,huang2 niu2,Fauna,,,
ŋɛi21,,數詞,（二十）二,er4,Miscellaneous,ŋɛi21 是序詞、ɓun55 是量詞,,
phan213 tshiu213,c76d1eca7c299969.wav,名詞,辣椒,la4 jiao1,Flora,,,
pha24,ab8a334ad9ce78f9.wav,名詞,天sky,tian1,Nature,,ɗa33 pha,
pha44,,名詞,耙,pa2,Material Culture,sɛŋ213 鐵的、曬稻穀用的; pha44耙地的,,
phai21,21f502b44de6b30f.wav,形容詞,"壞rotten, broken",huai4,Adjectives & Verbs,,,
phiak33,,形容詞,白,bai2,Adjectives & Verbs,,,
phiŋ213,2580d026ca84020e.wav,動詞,縫,feng2 ren4,Adjectives & Verbs,,,
phiʔ55,83ecd3fd624e1851.wav,動詞,吐,tu4 (to spit),Adjectives & Verbs,,,
phun21,,動詞,捧,peng3,Adjectives & Verbs,,,
phun21,e6ad790f1a8fa8cb.wav,名詞,鵝,e2,Fauna,,,
ɓən21 ha33,,,鵝叫,e2 jiao4,,,,phun21
phɔ21,0bee93af8da13014.wav,動詞,還,huan2,Adjectives & Verbs,,,
phɔk55,,形容詞,瞎,xia1,Adjectives & Verbs,,,
phɔn213,9f176e8fa21056f2.wav,名詞,雨,yu3,Nature,,,
ɗok55 phɔn213,d485ad99c9f0c03f.wav,,下雨,xia4 yu3,,,,phɔn213
ɗok55 phɔn213 mak33 hat55,9f374a5bca377da0.wav,,下冰雹,xia4 bing1 bao4,,,,phɔn213
phɛʔ33,f70d80fff15c9458.wav,動詞,掏,tau1,Adjectives & Verbs,,,
phɔn213 mak33 hat55,96ed3371ab418beb.wav,名詞,冰雹,bing1 bao2,Nature,,,
ɗok55 phɔn213 mak33 hat55,9f374a5bca377da0.wav,,下冰雹,xia4 bing1 bao2,,,,phɔn213 mak33 hat55
sa213,66333e8b8855837e.wav,名詞,耳朵,er3 duo1,Body Parts,,,
sa213,31d146eaf6892bd1.wav,動詞,種（花、草、菜）,chong4,Adjectives & Verbs,,,
sa213 sak33,,,種菜,zhong4 cai4,,,,sa213
sa213 mak33 lɔk55,31d146eaf6892bd1.wav,,種花生,,,,,sa213
sa213 kua213 tɔi213,01ffe56be331ee3f.wav,,種西瓜,,,,,sa213
sa44,1ca7260c827c033d.wav,名詞,茶,cha2,Food,,,
sai213,245430e710a286f9.wav,名詞,月亮,yue4 liang4,Nature,,,
sak21,8c6a74c47590fc35.wav,名詞,芋頭,yu4 tou2,Flora,,,
sak55,,名詞,菜,cai4,Food,,,
sau24,741617af4bbcd825.wav,動詞,狗吠,gou3 fei4,Fauna,,,
saŋ213,6a7f197aa17a4df2.wav,名詞,山,shan1,Nature,,,
saŋ24,00144972575b08bb.wav,名詞,蜜蜂,mi4 feng1,Fauna,,,
saŋ55 kɔ24,9a8793e73528dab2.wav,動詞,唱歌,chang4 ge1,Adjectives & Verbs,,siaŋ24 hɛi,
saʔ55,4946ecbeeab61afa.wav,名詞,藤,teng2,Flora,,,
siaŋ24 hɛi24,a22c4911a2d77b3a.wav,動詞,唱戲,chang4 xi4,Adjectives & Verbs,,saŋ55 kɔ,
sum213,0a706c3ce72c2f62.wav,形容詞,瘦,shou4,Adjectives & Verbs,,,
sɔn213,04c4334859f9501e.wav,名詞,路,lu4,Material Culture,,,
sɔt55,,數詞,七,qi1,Miscellaneous,,,
sɛ21,d07a356e08ff3ce0.wav,動詞,踩,cai3,Adjectives & Verbs,/ɗɔk21/為「 踩踏加摩擦」,,
sɛi44,6d69c1f95ad667a3.wav,形容詞,慢,man4,Adjectives & Verbs,,,
sɛk55,25b8eedb9f495bd4.wav,名詞,書,shu1,Material Culture,,,
sak55 ɓoŋ24,5494090455576dcc.wav,名詞,空心菜,kong1 xin1 cai4,Flora,,,
so213,a4e073d38ae0b6d5.wav,形容詞,年紀大,nian2 ji4 da4,Adjectives & Verbs,,nɔ,
sɔn213 nɔu44,f9eee1cc89621eaa.wav,名詞,蚯蚓,qiu1 yin3,Fauna,前字是「路」的意思,,
tsham33 tshu44 moi213,,名詞,玉米,yu4 mi3,Flora,,,
tshau24,8c4144d6397ad091.wav,形容詞,早,zao3,Time,,,
ɗa213 tshau24,8c4144d6397ad091.wav,,早上,zao3 shang4,,,,tshau24
tshe24,426e53cf891a077f.wav,名詞,姐,jie3,Kinship,,,
tshiam44,,名詞,蝦,xia1,Fauna,,,
tshik55,6e07ff7f1d9c73b6.wav,動詞,烤to roast,kao3,Adjectives & Verbs,,,
tshok33,62006d1f69846bff.wav,名詞,鹿,lu4,Fauna,,,
tshom21,,形容詞,"壞bad, not good",huai4,Adjectives & Verbs,,,
tshuk55,395720e2a438f91d.wav,形容詞,累,lei4,Adjectives & Verbs,亦作 nuai24,,
tshɛk55,55381b2477b6a86c.wav,形容詞,窄,zhai3,Adjectives & Verbs,,,
tshian213 ɗuŋ213,68cb4c5c6cf9e6a6.wav,名詞,蝌蚪,ke1 dou3,Fauna,可唸作[tshian]或[tshien],,
tshut33 ŋuk33,5c1eebd1406bc41c.wav,名詞,雞距（雄雞的後爪、短而銳利）,ji1 jü4,Fauna,又唸作thut33 ŋuk33,,
tshɛʔ33,d13e2beff1448fd5.wav,動詞,叫人安靜,jiao4 ren2 an1 jing4,Adjectives & Verbs,,,
ta21,dbad267eaeb095f8.wav,動詞,背to carry on the back,be1,Adjectives & Verbs,,,
tam213,,數詞,三,san1,Miscellaneous,,,
tan213,aec1330e3e983439.wav,動詞,回答,hui2 da2,Adjectives & Verbs,,,
tan213,,動詞,鳴、啼叫,ming2; ti2 jiao4,Adjectives & Verbs,SV,,
kɛi21(3) tan21(3),,,雞鳴,ji1 ming2,,,,tan213
taŋ213,cc4bed75ba191cde.wav,名詞,沙,sa1,Nature,,,
ti213,,名詞,絲,si1,Material Culture,,,
ti213,9c2c23f8a4642c02.wav,名詞,字,zi4,Material Culture,,,
tia24,493bab025a3bde0a.wav,動詞,寫,xie3,Adjectives & Verbs,,,
tia24 ti213,96d66d9a9477de01.wav,動詞,寫字,xie3 zi4,Adjectives & Verbs,,,
tiaŋ21,c74ec9048917c051.wav,動詞,養,yiang3,Adjectives & Verbs,,,
tin24,,名詞,魚鉤,yu2 gou1,Material Culture,,,
tiu24,,名詞,雞冠,ji1 guan4,Fauna,,,
tiu24,32292313e2a6ffa8.wav,形容詞,少,shao3,Miscellaneous,,,
tiu44,4b857cc900b075ab.wav,動詞,繡,xiu4,Adjectives & Verbs,,,
tu44,c1500a31cea280bc.wav,代名詞,你們2pl,ni3 men,Miscellaneous,也作 tu44 ɗai44 kun55,,
tuan24,81c423e871e6cd05.wav,動詞,數（數）,shu3,Adjectives & Verbs,,,
tuk55,10d8d9a3ed6256a4.wav,動詞,洗（頭、衣服）,xi3,Adjectives & Verbs,,ɗak,
tuk55 kok55,862a2192c8173e2c.wav,,洗腳,xi3 jiao3,,,,tuk55
tuk55 hau24,b468ab5f2b759410.wav,,洗頭,xi3 shou3,,,,tuk55
tuk55 mɔ44,dc0cc4313cc016a8.wav,,洗手,xi3 shou3,,,,tuk55
tuk55 liaŋ44,94e4dab401397082.wav,,洗澡,xi3 zao3,,,,tuk55
tum21,321814dd18afa7b6.wav,形容詞,軟,ruan3,Adjectives & Verbs,亦作 nun21 像豆腐,,
tuʔ55,,名詞,尾巴,wui3 ba1,Fauna,,,
tɔi213,,方位詞,西,xi1,Directions,,,
tɔi24,9bb70cf75d380578.wav,動詞,問,wen4,Adjectives & Verbs,,,
tɔm44,d3e5609bba1aca10.wav,動詞,摸,mo1,Adjectives & Verbs,,,
tɔn213,,名詞,牙齒,ya2 chi3,Body Parts,,,
tɔp21 ko33,,數詞,十九,shi2 jiu3,Miscellaneous,,ko,
tɔp33,d8d44405af95d443.wav,數詞,十,shi2,Miscellaneous,,,
tɛi21,,名詞,蓑衣,suo1 yi1,Material Culture,,,
tɛi24,27aaad3c571328d1.wav,名詞,水牛,shui3 niu2,Fauna,,,
tɛi24,,數詞,（第）四,(di4) si4,Miscellaneous,第四名作 ti24,,
tɔn213 ma213,,名詞,犬齒,quan3 chi3,Body Parts,,,
tɔn213 na24,1531fea2c5a4aa0f.wav,名詞,門牙,men2 ya2,Body Parts,,,
tɔn213 phɔŋ213,db1965ed4e40c9e3.wav,名詞,臼齒,jiu4 chi3,Body Parts,,,
tɔp33 ɓiat21,,數詞,（十）八,(shi2) ba1,Miscellaneous,[ɓiet],,
tɔp33 ŋo21,,數詞,（十）五,(shi2) wu3,Miscellaneous,tɔp33 是10、ŋo21是5,,
tɔp33 ti24,,數詞,十四,(shi2) si4,Miscellaneous,,,
va44,,名詞,腿,tui3,Body Parts,,,
mak33 va44,,,大腿,da4 tui3,,,,va44
van24,750e4971a1207a42.wav,名詞,風,feng1,Nature,,,
vau44,3407be6fc661d4d6.wav,名詞,角,jiao3,Fauna,,,
vaŋ21,40a14c61c7c1b805.wav,名詞,小米,xiao3 mi3,Flora,,,
vo55,453828b65473c1af.wav,名詞,姑姑（比爸爸年長）,gu1 gu1,Kinship,,,
vui44,efb16db56024bcf1.wav,名詞,地瓜,di4 gua1,Flora,或作 vui44 phan213,,
vɔ21,,名詞,米（不帶殼）,mi3,Flora,,,
vɔ21,fd65ae483480fe87.wav,名詞,細糠,xi4 kang1,Flora,,,
vɔ24,10053eaaa1607dc9.wav,名詞,村子,cun1 zi1,Material Culture,,,
vɔn44,5e4bf240c25e56a6.wav,名詞,毛、羽毛,mao2; yu3 mao2,Fauna,,,
vɔn44,6410309dc6c67103.wav,名詞,天、日子day,tian1; ri4 zi,Time,,,
vɔt55,8045c2f5216a180f.wav,動詞,擰（毛巾）,ning3,Adjectives & Verbs,,,
vɔu21,63cdf7f92f466064.wav,動詞,吹,chue1,Adjectives & Verbs,,,
vɔu21 van24,,動詞,吹風,chue1 feng1,Adjectives & Verbs,意同「吹口哨」,,
vən44,c2ad152d6f0fa9c7.wav,名詞,種子,zhong3 zi3,Flora,,,
vən44,c16971957f2c4486.wav,名詞,夢,meng4,Miscellaneous,,,
vɛi44,d0f73d2431e41c79.wav,名詞,火,huo3,Nature,,,
vən44,381063885f5250a0.wav,,柴,,,,,vɛi44
vɛi44,96ccb67d9f572262.wav,名詞,年,nian2,Time,,,
vɛi44 na24,ac5002eeb73c32ed.wav,時間副詞,明年,ming2 nian2,Time,,,
vɛi44 neʔ21,6d806d0adfa71014.wav,時間副詞,今年,jin1 nian2,Time,,,
vən44 sɔu24,61644b92c6cd4e13.wav,名詞,頭髮,tou2 fa3,Body Parts,,,
vɔn44 hin213,5e824e3cfa0bbc36.wav,時間副詞,前天,qian2 tian1,Time,,,
vɔn44 ne21,f99e82ec9d9a2427.wav,時間副詞,今天,jin1 tian1,Time,,,
vɔn44 tshɛk33,b38e64bb0ee79391.wav,時間副詞,明天,ming2 tian1,Time,,,
vɔn44 zɛŋ24,2465563858f456ba.wav,時間副詞,大前天,da4 qian2 tian1,Time,,,
vok33,40df184d82e70eba.wav,動詞,除（草）to weed,chu4 (cao3),Adjectives & Verbs,用手拔草,,
vok33 ɓat55,,,除草,,,,,vok33
za44,1e0f40275e80cc6b.wav,代名詞,我1sg,wo3,Miscellaneous,,,
zak55,f6f147fc42b9d3a2.wav,形容詞,餓,e4,Adjectives & Verbs,,,
zam213,501f05ac40d5d4af.wav,形容詞,黑、暗,hei1; an4,Adjectives & Verbs,,,
zan24,ff711daf252653a1.wav,名詞,酒,jiu3,Food,,,
zan24 ɗɛk21,,名詞,織布機,zhi1 bu4 ji1,Material Culture,,,
zan44,7cb3f492f9f510bd.wav,名詞,房屋,fang2 wu1,Material Culture,,,
zaŋ213,eeb75018c884c26d.wav,名詞,井,jing3,Material Culture,,,
zaŋ24,4b09182bfccb71ee.wav,形容詞,鹹,xian2,Adjectives & Verbs,,,
zaŋ24,7ac74746c0e409df.wav,動詞,醃,yan1,Adjectives & Verbs,,,
zi213,b6e74c919be253b8.wav,形容詞,空,kong1,Adjectives & Verbs,,,
ziam213,c8490632d024baae.wav,動詞,染,ran3,Adjectives & Verbs,,,
ziau44,de28f3bbcf2dc239.wav,動詞,笑,xiao4,Adjectives & Verbs,,,
ziaŋ24,56b8e165622aa51a.wav,形容詞,乾,gan1,Adjectives & Verbs,,,
zip33,3f8eeac09844449d.wav,名詞,指甲,zhi3 jia3,Body Parts,,,
zip33 mɔ44,,,手指甲,shou3 zhi3 jia3,,,,zip33
zip33 kok55,,,腳指甲,jiao3 zhi3 jia3,,,,zip33
ziu21,,名詞,蓆子,xi2 zi,Material Culture,,,
zua213,1c3d0e02726e8b0b.wav,名詞,老虎,lao3 hu3,Fauna,,,
zua44,a0162ae982b0440f.wav,名詞,船,chuan2,Material Culture,,,
zuaʔ55,775b9837ab9676b7.wav,形容詞,硬,ying4,Adjectives & Verbs,,,
zuk33,,名詞,窩、巢,wuo1; chao2,Fauna,,,
zun213,5560495d7550c59d.wav,動詞,站,zhan4,Adjectives & Verbs,,,
zɔp55,9cb2236aa0cd4216.wav,形容詞,生,sheng1,Adjectives & Verbs,,,
zɔu213,,動詞,叫,jiao4,Adjectives & Verbs,,,
zɔŋ44,73a155dfe354ec31.wav,名詞；動詞,篩子；篩,shai1 zi0; shai1,Adjectives & Verbs,,,
zan44 ŋua21,1268580bd20517b0.wav,名詞,瓦房,wa3 fang2,Material Culture,,,
zan44 tia44,9de92314ece7fd7b.wav,名詞,茅草房,mao2 cao3 fang2,Material Culture,,,
zap33 nau213,06d9520a980fd8ea.wav,名詞,糯米,nuo4 mi3,Flora,,,
ziau24 kɛi213,,名詞,雞爪,ji1 zhua3,Fauna,,,
zom213 nia44,d9f42d20b31bcb4c.wav,動詞,種（稻）=插秧,zhong4 dao4; cha1 yang1,Adjectives & Verbs,種=zom213,,
